W,SCREEN,SpeedAcc,MTCSC,SHoTClean
58,2024.98465676316,3068.4487194213957,2278.5694929504734,661.4883672434436
59,2024.98465676316,3076.5602856826276,2305.746098436755,661.4271457296815
60,2024.98465676316,3078.696359295966,2330.4809437019862,663.3565047858465
61,2024.98465676316,3081.6059277368568,2333.102236062632,658.5380665077031
62,2024.98465676316,3082.5108022692416,2362.42636963706,667.3351966769882
63,2024.98465676316,3083.4772461855678,2362.520176411929,663.5093848334257
64,2024.98465676316,3085.825354512198,2372.4574719825987,663.8343871367983
65,2024.98465676316,3091.2619699644797,2383.4466832638213,666.2486857502811
66,2024.98465676316,3097.141314390308,2385.4722594328177,667.556872826188
67,2024.98465676316,3105.164006858405,2392.361532907012,667.1911245251739
68,2024.98465676316,3109.603675089338,2404.1276914829864,666.7085698292283
69,2024.98465676316,3117.7279265121715,2419.5079714239628,668.5922112837286
70,2024.98465676316,3120.431317329605,2425.558262676137,667.428749030853
71,2024.98465676316,3119.0520577198545,2428.824566474146,666.6248609498505
72,2024.98465676316,3112.3986316334926,2434.950373307025,663.8424355157443
73,2024.98465676316,3101.5726214297893,2443.6363977646283,663.5923218207796
74,2024.98465676316,3088.697477999151,2451.95842875773,662.0644425344126
75,2024.98465676316,3080.6139567725654,2464.8411139120344,660.3057204568639
76,2024.98465676316,3071.7565340269,2474.5709716388837,659.8366735442188
77,2024.98465676316,3066.5208161087025,2481.902841373415,660.0961813010226
78,2024.98465676316,3064.4431420678443,2485.3838309567095,660.0344914127282
79,2024.98465676316,3065.7257850411934,2485.0005961229135,659.917367556422
80,2024.98465676316,3072.29708524719,2493.8528888347632,663.3496982501715
81,2024.98465676316,3079.83081747674,2496.5185704508676,664.1053993087032
82,2024.98465676316,3086.5275842386122,2504.3939205755128,665.0694763852501
83,2024.98465676316,3090.6825055296968,2509.9052614631382,665.0097830798544
84,2024.98465676316,3094.1776876835506,2515.9006965046015,665.6497271762594
85,2024.98465676316,3093.897846704206,2517.288639240081,665.3893688366942
86,2024.98465676316,3093.632217582363,2539.8204940147166,664.8051750694667
87,2024.98465676316,3094.5186948381615,2542.0787740260002,664.3601564114564
88,2024.98465676316,3093.3196832962217,2555.855498129312,664.2978492672055
89,2024.98465676316,3096.063494781982,2559.962584938888,664.9288073446071
90,2024.98465676316,3103.9069062242784,2570.4345342742176,664.9716473678315
91,2024.98465676316,3111.4986957209912,2571.3987672696744,666.5493165050698
92,2024.98465676316,3118.998311108288,2586.0201657112457,669.1910535896867
93,2024.98465676316,3123.2384009432863,2584.3674914454323,668.9730211343832
94,2024.98465676316,3126.321347428782,2604.85395751928,668.8806864436032
95,2024.98465676316,3125.2448473651875,2606.5383249232473,669.6807682005564
96,2024.98465676316,3119.764731357552,2617.795421948126,667.0599910615952
